no,item_id,block,block_kr,construct,kind,scale,n_opt,n_cells,reverse,tier,context,question,options,keyed,reasoning_t2(C),omr_capture,KC_formal(주석),exp_difficulty(주석),note,status
33,B5,B,사고 성향,사고축:lens,forced16,양자택일(1/2),2,1,,,,현상을 마주하면 내 첫 질문은…,"1) ""무슨 일이 일어났지?"" (결과) [극G] | 2) ""그 안에서 뭐가 변했지?"" (속 원리) [극S]",—,,OMR: 1칸,,,,active
34,B6,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"문제를 풀 때, 나는…",1) 답이 먼저 '느낌'으로 떠오른다 [극J] | 2) 단계를 하나씩 밟아 도달한다 [극B],—,,OMR: 1칸,,,,active
35,B7,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"새로운 규칙을 배우면, 나는…",1) 왜 그런지 따져 본 뒤에 쓴다 [극B] | 2) 대충 감을 잡고 바로 써 본다 [극J],—,,OMR: 1칸,,,,active
36,B8,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"정보가 한꺼번에 주어지면, 나는…",1) 중요한 게 직감으로 보인다 [극J] | 2) 표나 순서로 정리해야 보인다 [극B],—,,OMR: 1칸,,,,active
37,B9,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"설명을 들을 때, 나는…",1) 처음부터 빠짐없이 듣는 게 편하다 [극B] | 2) 핵심만 빠르게 잡는 게 편하다 [극J],—,,OMR: 1칸,,,,active
38,B10,B,사고 성향,사고축:think,forced16,양자택일(1/2),2,1,,,,"실수했을 때, 나는…","1) '아, 이거구나' 하고 금방 알아챈다 [극J] | 2) 어디서 틀렸는지 되짚어 찾는다 [극B]",—,,OMR: 1칸,,,,active
39,B11,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,공부가 가장 즐거운 순간은…,1) 새롭고 신기한 걸 알게 될 때 [극T] | 2) 배운 걸 깔끔히 정리해 완성할 때 [극R],—,,OMR: 1칸,,,,active
40,B12,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,"자유 시간이 생기면, 나는…",1) 배운 걸 복습해 탄탄히 한다 [극R] | 2) 안 배운 걸 미리 들춰본다 [극T],—,,OMR: 1칸,,,,active
41,B13,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,더 끌리는 과제는…,1) 정답이 여럿인 열린 탐구 [극T] | 2) 정답이 분명한 정리 문제 [극R],—,,OMR: 1칸,,,,active
42,B14,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,"노트를 쓸 때, 나는…",1) 보기 좋게 구조를 맞춰 적는다 [극R] | 2) 떠오르는 생각과 질문을 막 적는다 [극T],—,,OMR: 1칸,,,,active
43,B15,B,사고 성향,사고축:drive,forced16,양자택일(1/2),2,1,,,,수업에서 더 신나는 것은…,"1) ""이건 왜 그럴까?"" 하는 새 질문 [극T] | 2) ""이제 이건 확실해"" 하는 정리 [극R]",—,,OMR: 1칸,,,,active
44,B16,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,"어려운 문제를 만나면, 나는…",1) 어려워도 일단 부딪쳐 본다 [극D] | 2) 쉬운 문제로 기초를 다진 뒤 도전한다 [극M],—,,OMR: 1칸,,,,active
45,B17,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,더 뿌듯한 것은…,1) 기본을 완벽하게 익힌 것 [극M] | 2) 남들이 못 푼 문제를 풀어낸 것 [극D],—,,OMR: 1칸,,,,active
46,B18,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,"실패가 예상돼도, 나는…",1) 도전 자체가 재미있다 [극D] | 2) 충분히 준비된 뒤에 하고 싶다 [극M],—,,OMR: 1칸,,,,active
47,B19,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,"새 단원을 시작하면, 나는…",1) 기본 개념부터 차근차근 본다 [극M] | 2) 어려운 문제부터 건드려 본다 [극D],—,,OMR: 1칸,,,,active
48,B20,B,사고 성향,사고축:approach,forced16,양자택일(1/2),2,1,,,,내 공부 속도는…,1) 빠르고 넓게 나가는 편 [극D] | 2) 천천히 깊게 다지는 편 [극M],—,,OMR: 1칸,,,,active
49,C1,C,개념 이해,개념:conservation / 주제:dissolve,misconception,정답선택+확신(1~3),4,2,,,,"물 100 g과 설탕 10 g을 모두 저어 녹였다. 설탕이 안 보이게 된 뒤, 컵 안 전체(물+녹은 설탕)의 무게는?",1) 약 110 g 그대로다 [★정답] | 2) 약 100 g에 가깝다 [오개념:용해=소멸] | 3) 110 g보다 무거워진다 [오개념:질량 증가] | 4) 잘 모르겠다 [모름],1,그렇게 생각한 이유는? :: 1) 설탕이 녹아서 사라졌기 때문에 [오개념:소멸] | 2) 녹아도 설탕 입자는 물 사이에 그대로 남아 있어서 [★정답] | 3) 설탕이 물로 변했기 때문에 [오개념:변환] | 4) 물이 설탕을 흡수해 없앴기 때문에 [오개념:흡수],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
50,C2,C,개념 이해,개념:conservation / 주제:state-mass,misconception,정답선택+확신(1~3),4,2,,,,마개로 꽉 막은 병 안에서 얼음이 녹아 물이 되었다. 병 전체의 무게는?,1) 그대로다 [★정답] | 2) 가벼워진다 [오개념:상태=감소] | 3) 무거워진다 [오개념:액체가 무겁다] | 4) 잘 모르겠다 [모름],1,그렇게 생각한 이유는? :: 1) 상태가 변하면 무게도 변해서 [오개념:연동] | 2) 얼음과 물은 모습만 다를 뿐 같은 물질이라 양이 그대로여서 [★정답] | 3) 녹으면서 일부가 공기로 빠져나가서 [오개념:손실] | 4) 물이 얼음보다 원래 무거워서 [오개념:고유질량],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
51,C3,C,개념 이해,개념:conservation / 주제:combustion,misconception,정답선택+확신(1~3),4,2,,,,"장작이 다 타면 가벼운 재만 남는다. ""타면 물질이 줄어 사라진다""는 생각, 실제로는?","1) 정말로 물질이 사라진다 [오개념:소멸] | 2) 눈에 안 보이는 기체로 빠져나가, 그 기체까지 합치면 양은 줄지 않는다 [★정답] | 3) 남은 재가 곧 원래 나무다 [오개념:기체 무시] | 4) 잘 모르겠다 [모름]",2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
52,C4,C,개념 이해,개념:conservation / 주제:evaporation,misconception,정답선택+확신(1~3),4,2,,,,접시에 둔 물이 완전히 말라 눈에 보이지 않게 되었다. 그 물은?,1) 완전히 사라져 없어졌다 [오개념:소멸] | 2) 수증기가 되어 공기 중으로 흩어졌을 뿐 사라진 건 아니다 [★정답] | 3) 산소로 변했다 [오개념:분해] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
53,C11,C,개념 이해,개념:conservation / 주제:dissolve,misconception,정답선택+확신(1~3),4,2,,,,소금물을 그대로 두었더니 물이 다 증발하고 하얀 소금이 다시 남았다. 녹았던 소금은?,1) 녹으면서 없어졌다가 새로 생긴 것이다 [오개념:소멸·생성] | 2) 물속에 그대로 있다가 물이 날아가자 다시 보이게 된 것 [★정답] | 3) 물이 소금으로 변한 것이다 [오개념:변환] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
54,C12,C,개념 이해,개념:conservation / 주제:dissolve,misconception,정답선택+확신(1~3),4,2,,,,각설탕을 물에 넣었더니 점점 작아지다 사라졌다. 단맛은 어떻게 됐을까?,1) 설탕이 사라졌으니 단맛도 없다 [오개념:소멸] | 2) 설탕 입자가 물 전체에 퍼져서 물이 달아졌다 [★정답] | 3) 물이 원래 달았던 것이다 [오개념:무관] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
55,C13,C,개념 이해,개념:conservation / 주제:state-mass,misconception,정답선택+확신(1~3),4,2,,,,물 한 컵을 얼렸다. 언 얼음 전체의 무게는 원래 물과 비교해 어떨까?,1) 더 무겁다 [오개념:고체가 무겁다] | 2) 거의 같다 [★정답] | 3) 더 가볍다 [오개념:얼면 가벼워진다] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
56,C14,C,개념 이해,개념:conservation / 주제:combustion,misconception,정답선택+확신(1~3),4,2,,,,철 수세미를 공기 중에서 완전히 태웠다. 타고 난 뒤의 무게는?,1) 가벼워진다 [오개념:연소=감소] | 2) 오히려 무거워진다 [★정답] | 3) 그대로다 [오개념:불변 오인] | 4) 잘 모르겠다 [모름],2,그렇게 생각한 이유는? :: 1) 타면 원래 줄어드니까 [오개념:감소] | 2) 공기 중 기체가 철에 달라붙어 더해져서 [★정답] | 3) 철이 재가 되어 가벼워져서 [오개념:재 산물] | 4) 불 자체가 무게를 더해서 [오개념:불=물질],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
57,C15,C,개념 이해,개념:conservation / 주제:evaporation,misconception,정답선택+확신(1~3),4,2,,,,젖은 빨래가 마르면서 점점 가벼워졌다. 사라진 물은 어디로 갔을까?,1) 완전히 없어졌다 [오개념:소멸] | 2) 수증기가 되어 공기 중으로 퍼졌다 [★정답] | 3) 빨래가 물을 먹어 버렸다 [오개념:흡수] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
58,C16,C,개념 이해,개념:conservation / 주제:atom-reaction,misconception,정답선택+확신(1~3),4,2,,,,"두 물질이 만나 전혀 새로운 물질로 변했다. 변화 전과 후, 물질을 이루는 '알갱이의 총 개수(양)'는?","1) 새 물질이 생겼으니 알갱이도 새로 생긴다 [오개념:생성] | 2) 알갱이는 새로 생기거나 없어지지 않고, 짝만 다시 짜인다 [★정답] | 3) 변하면서 일부 알갱이가 사라진다 [오개념:소멸] | 4) 잘 모르겠다 [모름]",2,그렇게 생각한 이유는? :: 1) 새 물질엔 새 알갱이가 필요해서 [오개념:생성] | 2) 있던 알갱이가 자리만 바꿔 다시 결합해서 [★정답] | 3) 변할 때 일부가 빛·열로 사라져서 [오개념:소실] | 4) 큰 물질이 부서져 알갱이 수가 늘어서 [오개념:증가],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
59,C17,C,개념 이해,개념:conservation / 주제:atom-reaction,misconception,정답선택+확신(1~3),4,2,,,,나무가 타서 연기와 재가 되었다. 타기 전 나무를 이루던 '알갱이들'은 어떻게 됐을까?,1) 불에 타서 없어졌다 [오개념:소멸] | 2) 연기(기체)와 재로 흩어져 모습만 바뀌었을 뿐 그대로 있다 [★정답] | 3) 불의 알갱이로 변했다 [오개념:불=물질] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
60,C18,C,개념 이해,개념:conservation / 주제:atom-reaction,misconception,정답선택+확신(1~3),4,2,,,,설탕을 가열했더니 까맣게 타서 다른 것으로 변했다. 처음 설탕을 이루던 알갱이는 새 물질 속에 있을까?,1) 완전히 사라지고 전혀 다른 알갱이만 있다 [오개념:완전치환] | 2) 모습은 변했어도 그 알갱이들이 다시 짜여 들어 있다 [★정답] | 3) 절반쯤만 남아 있다 [오개념:부분소멸] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
61,C5,C,개념 이해,개념:particle / 주제:particle-property,misconception,정답선택+확신(1~3),4,2,,,,구리(금속)는 반짝이고 단단하며 붉은빛이 돈다. 구리를 이루는 '가장 작은 알갱이 하나'는 어떨까?,"1) 그 알갱이 하나도 반짝이고 단단하고 붉다 [오개념:성질 보유] | 2) 알갱이 하나엔 그런 성질이 없고, 아주 많이 모였을 때 나타난다 [★정답] | 3) 알갱이는 작은 먼지 같은 것이다 [오개념:미세 덩어리] | 4) 잘 모르겠다 [모름]",2,그렇게 생각한 이유는? :: 1) 작아도 구리니까 성질이 똑같아서 [오개념:상속] | 2) 색·단단함은 알갱이가 많이 모일 때 나타나는 것이라서 [★정답] | 3) 알갱이는 원래 투명해서 [오개념:투명] | 4) 알갱이는 살아있는 게 아니라서 [오개념:무관],OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
62,C19,C,개념 이해,개념:particle / 주제:particle-property,misconception,정답선택+확신(1~3),4,2,,,,물 한 방울을 이루는 '가장 작은 알갱이 하나'는 어떤 모습일까?,1) 아주 작은 물방울 모양이다 [오개념:축소판] | 2) 우리가 보는 '물방울' 같은 모습은 없다 [★정답] | 3) 작은 얼음 조각이다 [오개념:상태혼동] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
63,C20,C,개념 이해,개념:particle / 주제:particle-property,misconception,정답선택+확신(1~3),4,2,,,,어떤 물질을 이루는 알갱이 하나의 '색'은 어떨까?,1) 그 물질과 똑같은 색이다 [오개념:색 상속] | 2) 알갱이 하나에는 '색'이라 할 만한 것이 없다 [★정답] | 3) 항상 회색이다 [오개념:임의 색] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
64,C6,C,개념 이해,개념:particle / 주제:particle-space,misconception,정답선택+확신(1~3),4,2,,,,끝을 막은 주사기의 피스톤을 누르면 안의 공기 부피가 줄어든다. 이때 공기 입자들은?,1) 입자 자체가 찌그러져 작아진다 [오개념:입자 압축] | 2) 입자 사이의 빈 공간이 좁아진다 (수·크기는 그대로) [★정답] | 3) 입자들이 서로 합쳐진다 [오개념:융합] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
65,C24,C,개념 이해,개념:particle / 주제:particle-space,misconception,정답선택+확신(1~3),4,2,,,,같은 물(액체)보다 수증기(기체)가 훨씬 더 큰 공간을 차지한다. 왜일까?,1) 기체가 되면서 알갱이가 커져서 [오개념:팽창] | 2) 알갱이 사이의 빈 공간이 훨씬 넓어져서 [★정답] | 3) 알갱이 수가 늘어나서 [오개념:증가] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
66,C7,C,개념 이해,개념:particle / 주제:particle-between,misconception,정답선택+확신(1~3),4,2,,,,물질을 이루는 아주 작은 알갱이들 '사이'에는 무엇이 있을까?,1) 더 작은 알갱이들로 빈틈없이 차 있다 [오개념:연속물질관] | 2) 아무것도 없는 빈 공간이다 [★정답] | 3) 공기가 채우고 있다 [오개념:사이=공기] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
67,C25,C,개념 이해,개념:particle / 주제:particle-between,misconception,정답선택+확신(1~3),4,2,,,,단단한 쇠구슬 안에도 알갱이와 알갱이 사이에 '빈 공간'이 있을까?,1) 꽉 차 있어 빈 공간이 전혀 없다 [오개념:연속물질관] | 2) 단단해 보여도 알갱이 사이에는 빈 공간이 있다 [★정답] | 3) 공기가 채우고 있다 [오개념:사이=공기] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
68,C21,C,개념 이해,개념:particle / 주제:particle-thermal,misconception,정답선택+확신(1~3),4,2,,,,공기를 넣은 풍선을 따뜻한 곳에 두니 조금 부풀었다. 안의 공기 알갱이는?,1) 알갱이 자체가 커졌다 [오개념:입자 팽창] | 2) 알갱이는 그대로인데 더 빠르게 움직여 서로 멀어졌다 [★정답] | 3) 알갱이 수가 늘어났다 [오개념:증가] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
69,C22,C,개념 이해,개념:particle / 주제:particle-thermal,misconception,정답선택+확신(1~3),4,2,,,,금속 막대를 가열하면 길이가 살짝 늘어난다. 이때 금속을 이루는 알갱이는?,"1) 알갱이 하나하나가 부풀어 커진다 [오개념:입자 팽창] | 2) 크기는 그대로이고, 활발히 움직여 사이 간격이 벌어진다 [★정답] | 3) 알갱이 개수가 늘어난다 [오개념:증가] | 4) 잘 모르겠다 [모름]",2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
70,C23,C,개념 이해,개념:particle / 주제:particle-thermal,misconception,정답선택+확신(1~3),4,2,,,,온도가 높아지면 물질을 이루는 알갱이는 어떻게 달라질까?,1) 알갱이가 점점 커진다 [오개념:입자 팽창] | 2) 크기·개수는 그대로이고 움직임이 빨라진다 [★정답] | 3) 알갱이가 뜨거워져 색이 변한다 [오개념:무관] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
71,C8,C,개념 이해,개념:change / 주제:boiling,misconception,정답선택+확신(1~3),4,2,,,,물을 펄펄 끓일 때 바닥에서 올라오는 기포(거품)의 정체는?,"1) 물에 녹아 있던 공기 [오개념:기포=공기] | 2) 산소와 수소로 쪼개진 것 [오개념:끓음=분해] | 3) 기체로 변한 물, 즉 수증기 [★정답] | 4) 잘 모르겠다 [모름]",3,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
72,C26,C,개념 이해,개념:change / 주제:boiling,misconception,정답선택+확신(1~3),4,2,,,,냄비 뚜껑 안쪽에 물방울이 맺혔다. 이 물방울은 어디서 왔을까?,1) 뚜껑에서 새로 생긴 물이다 [오개념:생성] | 2) 올라온 수증기가 차가운 뚜껑에서 다시 물이 된 것 [★정답] | 3) 공기 속 산소가 물로 변한 것 [오개념:변환] | 4) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
73,C9,C,개념 이해,개념:change / 주제:phys-chem,misconception,정답선택+확신(1~3),5,2,,,,다음 중 '새로운 물질이 만들어진 변화'에 가장 가까운 것은?,1) 종이를 잘게 찢는다 [오개념:모양=새물질] | 2) 물이 얼어 얼음이 된다 [오개념:상태=새물질] | 3) 철이 녹슬어 붉게 변한다 [★정답] | 4) 설탕이 물에 녹는다 [오개념:용해=새물질] | 5) 잘 모르겠다 [모름],3,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
74,C27,C,개념 이해,개념:change / 주제:phys-chem,misconception,정답선택+확신(1~3),5,2,,,,다음 중 '물질 자체는 그대로인 변화(물리 변화)'에 해당하는 것은?,1) 양초가 타서 빛과 열을 낸다 [오개념:연소를 물리로] | 2) 양초가 열에 녹아 액체가 된다 [★정답] | 3) 철이 녹슨다 [오개념:화학을 물리로] | 4) 음식이 상한다 [오개념:화학을 물리로] | 5) 잘 모르겠다 [모름],2,,OMR: 답(t1)+확신  ※이유(t2)는 온라인 전용·OMR 미수집,,,,active
